comment_id,verdict,corrected_category,reason,_cat,_text,_m_vulgar,_m_miso,_m_threat,_m_sexual
C001263,Wrong,Safe,"mild/neutral comment, no insult",Offensive,1:23 and 2:26 avar nilamaiya nenachu enaku paavam irunthuchu,,,,
C001267,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ramana garu mea voice super pays expression super propose super all ways ures perfect,,,,
C001268,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Comali part 2 dha pola...sirichu saava porom,,,,
C001271,Wrong,Safe,"mild/neutral comment, no insult",Offensive,60k views 106k likes how's possible,,,,
C001279,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Bharaivaa Ku evlovo paravala surya rocks <3,,,,
C001289,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"Sathiya kolayum , anava kolayaiyum entha padam angigarikarutha ? Apadi angi garithal censor board entha padathai angigarikalama ? entha padam veliyal sathiya kolaigal melum athigarikum..",,,,
C001292,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ena hindila amithabajan nadithalum enga thala nadikiramadiri varuma,,,,
C001295,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,anni uchitamgaa ammabade laudabadi anukunta anni uchitamgaa chestaanani appulapalu chesaadu rashtraanni,,,,
C001298,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,చిరంజీవి గారు మనసులో ఏం పెట్టుకోకుండా అంత మంచిగా మాట్లాడిండు..........నీకు ---------- కొవ్వు ఎక్కువ అందుకని ఇట్లా మాట్లాడుతున్నావ్,,,,
C001301,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,E family dabba manuko vayya bul bul Chala mandi ki records vunnai edo mi family goppa migitha family Sankara jathi ani anadam comnsence ledhu ani ni certificate chepthundi Mi family lo ntr ela vuntadi kalyan ram nv marav nv manshiva balayavva ani antaru ma side,,,,
C001302,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,మోడీ గారి పాలనలో భారత్ శక్తివంతమైన దేశంగా అవతరించింది,,,,
C001305,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Mahabharatam lo sakhuni mama famous mana Andhra bharatam lo jagan mama famous..,,,,
C001306,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Orey appudaina navvutu matladav ra broker na kidaka,,,,
C001307,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Dai pathi trailer nala eruku da balance enada pani vachirukinga..... Aruvam padam. Mari panidathingada,,,,
C001308,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Gowda Nim mane hatra ಊಟಕ್ಕೆ Jana galige kasta agtideya.nidre Avar place n avar Mobile number send madu.nಇನ್ನೊಂದು ಅರ್ಥ ಮಾಡ್ಕೊ nCorona ilde idaglu ninninda tegalo msg bandidave nOlle ಎಡಬಿಡಂಗಿ ತರ ಆಡಬೇಡಾnProcedure ge hana mukya alvo gottilla ಆ film technician ge avaru innondu chance kodabeku adu mukya nಅರ್ಥ ಮಾಡಿಕೊ ಮೂರ್ಖ ಶಿಕಾಮಣಿ,,,,
C001318,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,great perfamence sis krindi tiles slip avtunna balance chesukoni perfect gaa dance vesav super,,,,
C001324,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,"movie peru 3 lanjas samantha,manchu vishnu, swara bhaskar,manuch akka,anasuya",\blanja,,,
C001328,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Where is Jayalalitha? Vijayku ellam innum yaaru da padam kudkurathu?,,,,
C001334,Wrong,Safe,"mild/neutral comment, no insult",Offensive,நான் யாருங்கிறத எப்பவுமே நா முடிவு பண்றதுல்ல ... ஏன் எதுர்ல நிக்கிறவங்கதான் முடிவு பண்ணுவாங்க,,,,
C001336,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ee generation kii…mea value telidu sir…,,,,
C001347,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Thumb nail irukura suriya Voda getup bairavaa movie la papaa song Vijay dress la 🤔,,,,
C001350,Wrong,Safe,"mild/neutral comment, no insult",Offensive,20K views la 13K dislikes ithula 104K likes cmdy pasangla itha polapuku **,,,,
C001367,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Lyca Mobile production la cell phone pathiya negatives ??,,,,
C001369,Wrong,Safe,"mild/neutral comment, no insult",Offensive,"Before சைகோ மிஷ்கின் ஒரு படம் எடுத்தாரு,Now சைகோ மிஷ்கின் சைகோனு ஒரு படம் எடுக்குறாரு. அனேகமா அது அவரோட பயோபிக்காதான் இருக்கனும்.",,,,
C001381,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Sakath guru.... Avan amman innu rost madri broooo nAvarella nam INDIA dalle erbardu hag rost madri.. Guru,,,,
C001386,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,32 caselu unnapudu kallu pattukovali leka pothey CBI vaalu Jail lo vestharu,,,,
C001389,Wrong,Safe,"mild/neutral comment, no insult",Offensive,சூப்பர் ஸ்டார் வெச்சி செஞ்சிடங்களேயா பங்கம்,,,,
C001391,Wrong,Safe,"mild/neutral comment, no insult",Offensive,டீசர் ஆரம்பத்துல நல்லாதான் பார்த்ததுட்டு இருந்தேன் கடைசில ஒரு பஞ்ச் வச்சிங்க பாருங்க.... நான் அரசியலுக்கு வருவது உறுதினு..... என்னால சிரிப்பை அடக்கவே முடியலடா சாமி....,,,,
C001400,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Evaru ponmanika Vela . veyra nalla super Rana actor naducha nalla erukum nalla kambiramma . Prabudeva not ok 🤸,,,,
C001406,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Nenga commentla potrukingalet nadaga kadhal pandranunganu apo nengala mathava ponna thangachiyatha pakaringala onnu soldra oru Appanuku poranthavana eruntha yokiyamanavana eruntha yentha ponnaum sight adika mata bittu padam pathu kai adikama eruda apa oththukura ne soldra unnoda jadhi nalla jaadhinu otha yellatha thapu pandringa athenada avana matum kuththam soldringa porambomungala,\botha\b,,,
C001408,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ayan madri music venum Harris disappointed,,,,
C001411,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ಶೇಕಡ 100(%) ರಷ್ಟು viruses na China ಉತ್ಪನ್ನ ಮಾಡುತ್ತೆ.....,,,,
C001413,Correct,,vulgar/rude insult present,Offensive,innoru tharutha soori athellam vechu padam edukranuka thuuuu,\bthu+\b,,,
C001415,Wrong,Safe,"mild/neutral comment, no insult",Offensive,"korey kullan surya fans thazhe konacha cmnts ittathu kandu , ninakonnum vere pani illeda ........... theri iragiyappolum neeyoke ithu thanna paranjath ........ KULLAN SURYAYUM FANSUM onnu poda #$#@#$@ , THIS TEASER DEDICATED TO ALL SURYA FANS, kandu padikada.. DEEPAWALI FIREWORK IS SPONCERED BY ALL SURYA MOVIES.... VIJAY ANNAN VERE LEVEL DAAAAAA",,,,
C001419,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Corona hesralli hospital nalli nadeethiro dandhe bagge vivarisi.... Viruss bandu manushyaru saaythaaro ilvo gotthilla aadre hospital bill keli manushya badhukodu kastavaagidhe.,,,,
C001420,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Intha 21k dislikes la 90% vijay makkan fans. Chinna payaluga.,,,,
C001421,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ఆ పాప సాహసం గొప్పదే కానీ ఆ soldier ఓపిక కూడా గొప్పదే,,,,
C001424,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,rashmi tho kalisi oka manchi love story movie teeyi sudheer anna,,,,
C001426,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"Super trailer 1st part kuruma kalutha aruthu podura mathiri semai, inda mathiri naaygala ipadi thaa pananum, adanga maru, athu meeru, vera jaathi karan vayuthula un varisu valaranum, saraku miduku nu theriyura devudiya pasangala ipadi thaa aruthu podanum",,,,
C001428,Correct,,vulgar/rude insult present,Offensive,Pa.ranjth thevidiyaa paiyaluku sema serupadiii,thevidiy,,,
C001438,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Climax chala bagundhi lots of fun enjoyed a lot,,,,
C001439,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,idhe ithey adhi argievy nijaallu baagaa oppukuntaaru,,,,
C001443,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Maadhari manushya,,,,
C001452,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,3.8k dislikes ah... enna dhaan da prachana ungalukku,,,,
C001454,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Super Surya இந்த படமாவது நல்லா ஒடுதானு பாப்போம் ..,,,,
C001459,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ninige bere kelsa ilvaa madoke,,,,
C001462,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Evadra erri puukodu vaadu.. Duplicate gild eskuni show dhenguthunnadu,\berri,,,
C001465,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Poraadama Avan pogavum maataan.. saagavum maataan.. thaa vachu seiyaporom from 24th..,,,,
C001466,Wrong,Safe,"mild/neutral comment, no insult",Offensive,ಎಂಥೆಂಥದೋ ಡಬ್ಬಾ ಹಾಡುಗಳಿಗೆ ನೂರು-ಇನ್ನೂರು ಮಿಲಿಯನ್ ಗಟ್ಟಲೆ ವಿಕ್ಷಣೆ ಆಗ್ತಾವೆ...ಆದರೆ ಇಂಥಹ ಚೆನ್ನಾಗಿರೋ ಹಾಡಿಗೆ ಮೂರು ದಿನಗಳಾದ್ರೂ ೨ ಮಿಲಿಯನ್ ಆಗ್ತಿಲ್ಲ ಅಂದ್ರೆ...ನಮ್ ಜನ ಇಲ್ಲಿನ,,,,
C001468,Wrong,Safe,"mild/neutral comment, no insult",Offensive,"Shoot the kuruvi..., shoot the kuruvi...",,,,
C001471,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Dei pls Pidikala na video paka Vendam da atha vitutu dislikes Panathinga pls,,,,
C001472,Wrong,Safe,"mild/neutral comment, no insult",Offensive,0:13 yara avan engineer aavanumnu sonnathu 🤫,,,,
C001476,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,srikakulam busstand loo ee ammai kii posting iyyandi amma,,,,
C001477,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Dei otha ... Amma anda song la ipdi than dress potrundhangala.. asinga paduthurenga chai.,\botha\b,,,
C001479,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,​debate lae loo palgone tress nayakulaku edutivaarini matladaneeyakapovadam samskaaram kaadu,,,,
C001483,Wrong,Safe,"mild/neutral comment, no insult",Offensive,ಮೊಬೈಲ್ ಅಲ್ಲಿ ಮೂವೀ ನ ಬಿಟ್ಟಿದ್ದಾರೆ ಥಿಯೇಟರ್ ಗೆ ಯಾರ್ ಬರ್ತಾರೆ. ನಾನ್ ಮೊಬೈಲ್ ಅಲ್ಲೇ 2 ಟೈಮ್ ನೋಡ್ದೆ,,,,
C001487,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ethu aellam numbura mathriya eruku. Pommai paddam pola. Sakthiman 2,,,,
C001491,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,britain chethulu kaalayi Chinas drama la thoti so Jaagratha has Britain vundaali Britain konni thyagaalu cheyyali,,,,
C001493,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Chi pove,,,,
C001494,Wrong,Safe,"mild/neutral comment, no insult",Offensive,உதயநிதி ஸ்டாலின் மூஞ்ச பார்த்தா பாண்டியராஜன் திருட்டு முழி முழிக்கிறே மாதிரி இருக்கு,,,,
C001499,Correct,,vulgar/rude insult present,Offensive,otha bigil oru padam competition ah varuthuna athu epdi erukanum,\botha\b,,,
C001500,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Nalla velai sruthi haasana potaainga. Padam flop ayudum... S4 nu eduthu saavadika maatainga... very good,,,,
C001501,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"సుమా గారు మీరు మాములుగా చేసినా చూస్తాం, ఓవర్ యాక్షన్ బాగా ఎక్కువ అయ్యింది, మీ వల్ల రేటింగ్ రావట్లేదు ,",,,,
C001502,Wrong,Safe,"mild/neutral comment, no insult",Offensive,same shit again and again and again......,,,,
C001503,Correct,,vulgar/rude insult present,Offensive,Dai Yenda Epadi dislike pannuringa Nalla irukura trailer kum epadi pannuringa Manashachi padi irunga da Ajith fans mass dhan youtube records pannaadhu now 294K like endha trailer a dislike pannuravanga kandipa loose a dhaan irupinga da,\bloose\b,,,
C001518,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Thala Tharisanam Miga Viraivil.... மரண மாஸ் my dear Thala.... கடைசி வரிகள் தல hatera Ku dedicate Savungada ...,,,,
C001532,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ore oru kora mass kammiya iruku mathapadi adi poliii,,,,
C001533,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"Deii epppaaaa... Podhum da.. Endha comment la paathalum, hit like uh hit like uh nu koovitu irukeenga.. Aama ithana like vaangi ennadha da pudunga poreenga??",,,,
C001536,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Harsha inner felling Madhya lo veedu arustunadu,,,,
C001537,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,keka bekka short flim imitate,,,,
C001544,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ennada innum trend aagala SunPicture.... Published on 27th nnu varuthu ennada panni vachurukeengaa....,,,,
C001549,Wrong,Safe,"mild/neutral comment, no insult",Offensive,திருமாவளவன் உனக்கு தரமான செருப்பு அடி இருக்கு டா,,,,
C001558,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,எங்களுக்கு மண் பெண் இரண்டுமே ஒண்ணுதான் அதுல யார் கை வச்சாலும் வெட்டுவோம்,,,,
C001562,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,எனக்குல் இருக்கும் கொலை வெரி மொத்தமும் இந்த படத்தில் இருக்கும் என்று நம்புகிறேன்,,,,
C001566,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Kolaveri la yerukan yenda Padata paka ma vida mattan confirm blockbuster.,,,,
C001567,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,vangaveeti mohanaramgaa style kadhaa,,,,
C001570,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Prajalu question cheyanantha varaku politicians mararu. Politics marav. The great AP people,,,,
C001573,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,rajanna abhivruddhi kosame ayithe ninnu nee prajalu gelipistaaru,,,,
C001581,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Idhi matram correct bro ayana gelavadam maki avasaram simple ga cheppalantenijanga ayana dabbulu sampadhinchalante yearly 100 crores cinemallone easyga earn cheyagaladuyevadiki dabbulu longalsina avasaram ledhu,,,,
C001582,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,బ్లూ ఫిల్మ్ బ్యాచ్ మొత్తం యూట్యూబ్ లో దిగారు.. ఏంట్రా ఇది,,,,
C001583,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,kcr niku baga ekkuva ayidhi anni moukni cm avvu next karre mukku ki cm endhuku ra lanje boss,,,,
C001586,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Parthasarathi ಲೆ ಮುಂಡೆ ಇಲ್ಲಿ ಕೇಳು ನಿಮ್ಮ ಬಾಸ್ ಯಾವಾಗ್ಲಾದ್ರೂ help ಮಾಡಿದನಾ.... ಹೋಗ್ಲಿ ನಿಂಗೆ ಹೊಸ ಕಾಂಡೊಮ್ ಆದ್ರೂ ಕೊಡ್ಸಿದಾನ... ಲುಚ್ಚಾ ಸುದ್ವೇಪಿ,,,,
C001590,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,நாங்களும் ஒரு நாள் லவ் ஜிகாத் பத்தி தமிழ்நாட்டுல ஒரு படம் எடுப்போம்.. மொத்த மதம்மாத்துற கும்பலையும் கதறவிடுவோம்.,,,,
C001600,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Avanavan poratathula uyira vidran ivargaluku makkaloda unarva payanpaduthi epdi kasakurathunu nalla therinjirku,,,,
C001603,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Yenda ipadi padam eduthu jayalalitha va marupadi kolringa,,,,
C001606,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ayyo guru... Yelli tanka jana moodnambke bidalvo alli tanka inta shatnayakru useless videos haktane irrtare guru.nMahabharata tumba olle moral story. Jeevanakke bekagiro tumba paata ide idralli. Adunella use madkondu olle jeevna madbeku aste.,,,,
C001607,Wrong,Safe,"mild/neutral comment, no insult",Offensive,adei yenga thalapathiya paththu sirikkiriya nee 🤨🤨,,,,
C001615,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ratchasan music Mari eruku startngla 🤔🤔enaku matum Tha apdi thonutho,,,,
C001619,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,kodukulaku dimma tirigi bomma kanapaddadi super anna,,,,
C001621,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Rajini ya vechu senjirkanga from 96 to till now...nan arasiyal ku varuvan name solinu suthinu erukaru,,,,
C001623,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Comment lam padikka nalla positive than irukku analum epdi 6k dislikes vanthuchu,,,,
C001626,Wrong,Safe,"mild/neutral comment, no insult",Offensive,I am from Telangana.. keko keka style.. Superb ga vunnaru sir.. love you,,,,
C001627,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,மாபெரும் வெற்றியடைய வாழ்த்துகள்...ஈன பிரவிகளின் தோலுரிக்க திரௌபதி...🦁,,,,
C001629,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Anna samskaram undali koncham manishiga puttinappudu Sampadhinchali ante elagaina sampadhinchochu kaani ilanti bhaashani janalaku nerputhu kaadhu,,,,
C001639,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,snow family ela bathukundhi ante burdha pandi bathukundhi nenu bathuthunnanu,\bpandi\b,,,
C001641,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Petta paraak.....kola gandula iruken kollama vidamaten,,,,
C001644,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Bandi oka vest fellow,,,,
C001652,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,industry loo okka remark kuudaa laeni family edainaa undaa ante adhi one and onlee victory venkie anna gaari family superb raana anna,,,,
C001654,Wrong,Safe,"mild/neutral comment, no insult",Offensive,உங்கள பார்த்தா சிரிப்பு போலிஸ் மாதி இருக்கு,,,,
C001658,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,வைரவருக்கு நாய் வாய்ச்சமாதிரி தான் விஜய் அண்ணா haters கு பைரவா வாய்ச்சிருக்கு!!!,நாய்,,,
C001659,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Now 28k dislikes,,,,
C001660,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Em manishulu ra miru bhimbisara manchi movie petukoni...e movie evaru chustaru ra nag,,,,
C001662,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Ena da Telugu soil Mari iruku,,,,
C001664,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"கற்றவர்கள் அரசியிலுக்கு வரவில்லை என்றால்,திருடர்கள் அரசியலுக்குள் வருவார்கள்,பிறகு அரசியல் சாக்கடையாக இருக்காமல் பூக்கடையாகவா இருக்கும் ? If learners doesn’t come to politics means ,Thieves will come into that politics,Then politics will mire only ,how we can expect politics will be a flower shop ?",,,,
C001666,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Over scene illa mokka trailer,,,,
C001668,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Music bgm a big let down not like kaala or kabali,,,,
C001682,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ఈ అమ్మాయి సిగ్గు లేకుండా ఇంకా కావరింగ్ ఒకటి,,,,
C001690,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Trailer la pagal time ee kanom?,,,,
C001693,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,​tress party loo telamgaana kosam pooraadina valle unnara poraatam kii vyatiraekam gaa unnollani ministers alaa chesinarugurivinda ginja kii kinda unna maccha kanapadadu,,,,
C001697,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,abbu siggulekunda vaadu matladina maatalu okkadu kuudaa levaledu ikkadajast fore hate inn modi how much loo kyaan goo anniware,,,,
C001704,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,raa neenu pedataanu neku,,,,
C001705,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,hridaya vidarakamga vundhi adwani gaaruone of they founder of bjp time vastundi andarikee,,,,
C001709,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,నీకు ఎంత నోడు దూల ఉంది కాబట్టే నీ ఇంటి మీద దాడి చేశారు,,,,
C001710,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,idhe poyindi kaadu manaki,,,,
C001712,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ఒరేయ్ టాప్ టీవీ ఓడ bsp పెట్టలేదు ఉచ్చ పడుతుందా,,,,
C001715,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Tiktok ಮಾಡೋರನ್ನ ಇಂಡಿಯಾ ಗಡಿ ಗೆ ತಗೊಂಡುಹೋಗಿ ಬಿಟ್ರೆ ಗೊತಾಗುತ್ತೆ ಅವಾಗ,,,,
C001717,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Yadhava ni yadhava laage treat chesthaaaru,,,,
C001722,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ne ala vijay muturatha kudikerked tha laki,,,,
C001724,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,அந்த அம்மா மட்டும் உசுரோட இருந்தா இந்த டீஸரை போட்டவங்க டவுசரை கலட்டி இருக்கும்...,,,,
C001729,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Arey ni bondha ra chetha na kodaka,,,,
C001732,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,kavya papa circket meda avagahana ledhu ma aubction dengi mataldutnadhi,,,,
C001736,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,super brother comedy cake 1000 comedy veediyo,,,,
C001740,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,R yaar fan adhru agli.. thandhido buddhi yake.. ivaga yela kfi kade nodtha idhare.. kachada galu heeg madthare.. d boss yavathu yelarnu encourage madthare,,,,
C001747,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,talli tandrula pempakam alaa undaali hoy namaste antuu entho baagundi,,,,
C001753,Correct,,vulgar/rude insult present,Offensive,"Ama athu enna last la loose motion pora Maari nadanthu varathu..,",\bloose\b,,,
C001754,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Intha jaathi veri pidicha naaingalam epatha sethu tholaivanungalo....,,,,
C001755,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Kangna indha character ku avlova set aagala... Anyone else feels this,,,,
C001757,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,BJP anti hindu Kotha party power loki ravali congressbspsptmcaapseesee new Startup is waiting,,,,
C001758,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,brow mea ancoing chaalaa chaal chaalaa decent gaa untundi,,,,
C001760,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,naku asla courtney cox nachadhu thanu thana moddalo overacting #pussyhoecourtney,\bmodda,,,
C001764,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Traffic police pikthunara 2019 nundi number plate petkokunda TR number tho untey,,,,
C001766,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,DMK Kala nadukkurth ...story super...ahdutha iruvar...manirathnam Padam release ahnano palaya PADI olinjukkonga....,,,,
C001768,Wrong,Safe,"mild/neutral comment, no insult",Offensive,16 yrs after oruthan ulam parha epdi than fav scene... aiuu jeans illam killinji pochu mudunga,,,,
C001771,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Kothaga ee dharidram. Inka vellu start chesaru,,,,
C001773,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Yellathukkumey un like panringa yennathanda pudikkum ungalukku,,,,
C001781,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Jaathiyaavuthu.. Koo** thoo Enda jaathi jaathinu adichukiringa,,,,
C001782,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,sofia vegara has a voice like notlo modda erikupoyi vuntadhi,\bmodda,,,
C001789,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,neenu oka nter phone gaa cheptuna heart tachesaru sir mea speech tho hots off sir,,,,
C001793,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Sema style... Summa ye Dislike panranugalo!!!,,,,
C001794,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga....,,,,
C001797,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Muttiah director inta maadhiri Padam eduya kurumas saavatumdraupati trailr,,,,
C001798,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,anna chaalaa improve ayyav super,,,,
C001804,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Veelu chesadi gymnastics malla vale dhani dance anukuntaru,,,,
C001812,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Arey evaru ra meru antha thu m manashulu ra meru edhi comedy show na inka em ayna show na,\bthu+\b,,,
C001817,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Deiiii ennada panni vachi irukeenga .....,,,,
C001821,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ipo rajini than comedian Pola. Vadivelu illatha kuraiya therthu vakkiraru rajini,,,,
C001825,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Mental Ravi Thalaivar scene delete pandra,,,,
C001833,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"Naan Goundar illa,Thevar illa,Vanniyar illa But Naan kannu munnadi paaththu irukken........intha SC per a solli etthana ponnungala nasam pannirukkaan .....innum love nu per la ponnunga vaazhkkai ya nasam pannittu irukkaanunga I'm against cate discrimination......at the same time, I'm against Reservation and drama love too",,,,
C001853,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,super cover drive poori babu,,,,
C001855,Wrong,Safe,"mild/neutral comment, no insult",Offensive,He is back U haters ...Actor surya is backkkkkkMAY 31 Rattham therika therika sambavam iruku,,,,
C001862,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,పెట్టింది పది వేలు.. లాగేది 10కోట్లు,,,,
C001865,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,நாடக காதல் கும்பல் இத பாத்துட்டு நாண்டுகிட்டு சாவட்டும்-வாழ்த்துகள்,,,,
C001866,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,naa oopiri unnantavaraku naa ootu meeke anna,,,,
C001867,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Arey ho sullaiga net ldhu kdha etla open ithdhi rah pukaa,,,,
C001869,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Munawwar మాట్లాడినపుడు నువ్వు ఎక్కడ పన్నవ్మీరుమీరు ఒక్కటే,,,,
