comment_id,verdict,corrected_category,reason
C040574,Wrong,Safe,praise for performance
C040582,Wrong,Safe,praise for host's humility
C040583,Wrong,Safe,joke about pacing
C040584,Wrong,Safe,"political vote discussion, no hate"
C040588,Unsure,,unclear question directed at individuals
C040589,Wrong,Safe,satirical dialogue about movie tropes
C040590,Wrong,Safe,"critique of Telugu cinema content, no hate"
C040592,Wrong,Safe,"mild critique/challenge, no hate"
C040593,Wrong,Offensive,"personal insult toward a woman, not group hate"
C040603,Correct,,mocking critique of actor's movies
C040609,Unsure,,ambiguous caste/welfare policy commentary
C040612,Wrong,Safe,fan opinion comparing directors
C040613,Wrong,Safe,political support statement
C040624,Wrong,Safe,"mild political sarcasm, no clear insult"
C040625,Wrong,Safe,neutral stat question
C040626,Unsure,,unclear vulgar reference
C040628,Wrong,Safe,"generic political critique, no hate"
C040629,Wrong,Safe,"fan appreciation discussing patriotism, no hate"
C040633,Wrong,Offensive,"vulgar insult toward media organization, not group hate"
C040640,Wrong,Safe,"neutral request, no hate"
C040646,Wrong,Safe,mild teasing about dislikes
C040650,Wrong,Safe,vague neutral statement
C040651,Wrong,Safe,"critique, no hate"
C040656,Wrong,Safe,"critique comparison, no hate"
C040658,Wrong,Offensive,"political mockery of individual, not group hate"
C040660,Wrong,Safe,"political slogan, no hate"
C040662,Wrong,Offensive,"frustration about piracy, not group hate"
C040668,Wrong,Safe,praise comment
C040677,Wrong,Safe,"political criticism, no hate"
C040678,Wrong,Safe,"mocking comment about teaser, mild"
C040685,Unsure,,unclear meaning
C040686,Correct,,hyperbolic insult toward dislikers
C040690,Correct,,mocking metaphor insult toward director
C040692,Wrong,Offensive,"personal insult/accusation, not group hate"
C040693,Wrong,Safe,neutral appreciative comment
C040697,Wrong,Offensive,"insult toward critics of a fan group, not identity hate"
C040701,Wrong,Safe,"concerned comment about safety, not hate"
C040711,Correct,,vulgar personal insult
C040716,Correct,,mocking insult about acting
C040719,Correct,,hostile insult toward actor/movie
C040722,Unsure,,unclear critique about promotion
C040723,Wrong,Safe,praise for addressing state issues
C040727,Wrong,Safe,"critique of music/trailer, no hate"
C040728,Wrong,Safe,rhetorical comment about double standards
C040729,Unsure,,vague/unclear statement
C040730,Wrong,Offensive,"vulgar political insult toward individual, not group hate"
C040741,Wrong,Safe,neutral fan comment
C040743,Wrong,Offensive,"vulgar political insult toward individual, not group hate"
C040748,Wrong,Safe,fan banter reference
C040749,Wrong,Safe,fan rivalry joke
C040752,Wrong,Safe,"mild rebuke, no hate"
C040755,Wrong,Safe,"caste-community congratulatory message, not hostile"
C040758,Wrong,Safe,praise comment
C040765,Correct,,mocking insult about appearance
C040774,Wrong,Safe,"political campaign support, no hate"
C040775,Correct,,mocking insult about copying
C040778,Wrong,Safe,neutral question
C040780,Correct,,mocking critique of actress's acting
C040783,Unsure,,unclear metaphor statement
C040788,Unsure,,unclear mocking comment
C040794,Wrong,Offensive,"political mockery of individual, not group hate"
C040797,Wrong,Safe,"philosophical statement about idiom, no direct insult"
C040819,Wrong,Safe,neutral bgm critique
C040820,Unsure,,garbled/unclear text
C040823,Wrong,Safe,political support statement
C040834,Wrong,Safe,"mild critique, no hate"
C040837,Wrong,Safe,neutral question
C040838,Unsure,,unclear accusation toward politician
C040844,Wrong,Safe,fan comment about director
C040848,Wrong,Safe,neutral news-like comment
C040852,Wrong,Offensive,"vulgar sports critique of a player, not group hate"
C040857,Wrong,Safe,mild rhetorical comment about dislikes
C040858,Wrong,Safe,critique about dialogue clarity
C040862,Wrong,Safe,praise comment
C040863,Correct,,insult toward named politicians
C040867,Wrong,Safe,"political criticism, no hate"
C040869,Wrong,Offensive,"vulgar exclamation, not group hate"
C040870,Correct,,vulgar generic insult
C040872,Wrong,Safe,praise comment
C040879,Wrong,Safe,neutral commentary
C040884,Wrong,Safe,nostalgic comment
C040894,Unsure,,vague/unclear statement
C040895,Wrong,Safe,"fan complaint about bias, no hate"
C040903,Wrong,Safe,mild rhetorical complaint
C040909,Wrong,Safe,opinion about release timing
C040919,Wrong,Safe,"mild complaint, no hate"
C040922,Wrong,Safe,"political opinion, no personal insult"
C040924,Unsure,,unclear meaning
C040932,Wrong,Safe,"factual clarification, no hate"
C040934,Unsure,,unclear personal complaint
C040935,Wrong,Safe,mild accusation of copying style
C040936,Correct,,vulgar personal insult
C040937,Wrong,Offensive,"political insult with mocking of appearance, not group hate"
C040938,Unsure,,unclear political statement
C040939,Wrong,Safe,neutral question
C040940,Wrong,Safe,praise comment
C040945,Wrong,Safe,"commentary criticizing opportunists, not caste hate"
C040949,Wrong,Safe,fan greeting comment
C040950,Wrong,Safe,"mild rebuke, no hate"
C040952,Wrong,Safe,fan stats comparison
C040958,Wrong,Offensive,"mocking comment about actress's expression, not group hate"
C040963,Correct,,vulgar insult toward named individual
C040969,Wrong,Offensive,"vulgar generic insult, not group hate"
C040972,Correct,,personal insult about appearance/hairstyle choices
C040979,Wrong,Offensive,"insult toward skeptical fans, not group hate"
C040988,Wrong,Offensive,"personal insult toward media figure, not group hate"
C040990,Correct,,vulgar insult toward director
C040991,Correct,,vulgar sexual insult toward individual
C040993,Wrong,Offensive,"sarcastic insult toward voters, not group hate"
C040994,Wrong,Safe,"critique of casting, no hate"
C041004,Unsure,,unclear/garbled text
C041005,Wrong,Safe,"political sarcasm, no hate"
C041006,Wrong,Safe,fan praise
C041010,Unsure,,unclear/garbled text
C041011,Wrong,Safe,neutral comment
C041013,Wrong,Safe,praise comment
C041015,Wrong,Safe,fan comment about movie
C041022,Correct,,vulgar insult toward dislikers
C041028,Wrong,Safe,"mild accusation of copying, no hate"
C041031,Correct,,vulgar insult toward director
C041037,Wrong,Safe,praise comment
C041038,Unsure,,vague/unclear exclamation
C041041,Wrong,Safe,"fan rivalry comment, no hate"
C041042,Correct,,mocking insult toward movie
C041047,Wrong,Safe,anti-harassment sentiment condemning perpetrators of all castes
C041051,Correct,,vulgar insult toward political figure
C041066,Wrong,Offensive,"mocking personal insult, not group hate"
C041070,Correct,,vulgar sexual insult
C041075,Wrong,Safe,supportive fan comment
C041080,Wrong,Safe,praise comment
C041084,Correct,,mocking personal insult
C041086,Wrong,Safe,mild teasing about dislikes
C041087,Wrong,Safe,praise comment
C041093,Correct,,personal blame/insult toward individual
C041094,Wrong,Safe,political support slogan
C041098,Correct,,mocking insult about actress's costume
C041108,Wrong,Offensive,"personal political insult, not group hate"
C041110,Correct,,vulgar personal insult
C041113,Wrong,Safe,"mild mocking comparison, no hate"
C041114,Wrong,Safe,praise comment
C041116,Unsure,,unclear meaning
C041126,Wrong,Safe,praise for political explanation
C041138,Correct,,vulgar insult toward commenters
C041140,Wrong,Safe,mocking critique of trailer length
C041143,Correct,,mocking insult about actress's appearance
C041144,Wrong,Safe,"complaint about promotion, no hate"
C041145,Correct,,insult using caste term pejoratively
C041146,Wrong,Safe,"defense of actor's style, no hate"
C041149,Wrong,Safe,devotional praise phrase
C041152,Wrong,Safe,praise for movie
C041162,Correct,,mocking personal insult
C041163,Wrong,Safe,generic political philosophical statement
C041164,Wrong,Safe,factual/sad statement about pandemic
C041166,Wrong,Safe,"boycott hashtag campaign, no hate content"
C041168,Wrong,Safe,"statement invoking religious unity, no hate"
C041175,Wrong,Safe,praise for losing candidate
C041180,Wrong,Safe,political praise
C041181,Correct,,mocking accusation of copying
C041182,Wrong,Offensive,"vulgar remark about media stirring rivalry, not group hate"
C041184,Wrong,Safe,fan praise
C041185,Wrong,Safe,"fan request, no hate"
C041186,Unsure,,vague exclamation
C041189,Wrong,Safe,"critique of trailer, no hate"
C041194,Wrong,Safe,"accusation of music copying, no hate"
C041197,Correct,,direct vulgar insult toward named actor
C041207,Correct,,vulgar personal insult
C041215,Wrong,Safe,neutral stat confusion
C041216,Correct,,insult toward fan group using caste language
C041222,Unsure,,unclear metaphorical comment
C041224,Correct,,vulgar insult toward actress
C041245,Wrong,Safe,fan admiration comment
C041246,Wrong,Safe,"skeptical comment about institution, no hate"
C041253,Unsure,,unclear political request
C041265,Wrong,Safe,mocking question about depiction of public figure
C041271,Wrong,Safe,fan praise
C041277,Wrong,Safe,praise/comparison comment
C041278,Correct,,vulgar insult toward fans
C041280,Correct,,personal insults toward multiple named actors
C041286,Unsure,,ambiguous dark-humor description involving violence toward women
C041304,Wrong,Safe,"sarcastic comment about heated debate, no hate"
C041305,Unsure,,unclear praise/complaint
C041307,Wrong,Threat,explicit threat of violence against harassers
C041308,Unsure,,unclear fan comment about release date
C041309,Wrong,Safe,political slogan
C041310,Wrong,Safe,fan opinion favoring another actor
C041317,Wrong,Offensive,"vulgar political insult, not group hate"
C041319,Unsure,,unclear political/language comment
C041329,Wrong,Offensive,"vulgar dismissive remark, not group hate"
C041344,Wrong,Safe,neutral complaint about theatre issues
C041347,Wrong,Safe,nostalgic praise
C041352,Wrong,Safe,praise comment
C041361,Wrong,Safe,"joking caste-based fan segmentation, not hostile"
C041364,Unsure,,unclear vulgar innuendo
C041367,Unsure,,unclear meaning
C041370,Wrong,Safe,mild complaint about movie genre
C041371,Unsure,,unclear cricket comment
C041373,Wrong,Safe,ironic political commentary about caste reservations
C041377,Correct,,mutual personal insult exchange
C041379,Wrong,Safe,fan complaint about screen time
C041382,Wrong,Safe,"fan rivalry comment, mild"
C041384,Wrong,Safe,praise comment
C041392,Wrong,Safe,praise comment
C041393,Wrong,Safe,"critique predicting movie flop, no hate"
C041408,Wrong,Safe,comment about actor/movie rivalry
C041410,Wrong,Safe,meta-commentary critiquing selective caste-title outrage
C041412,Wrong,Offensive,"idiomatic personal taunt, not group hate"
C041413,Wrong,Safe,neutral comment
C041421,Wrong,Safe,fan excitement comment
C041430,Wrong,Safe,neutral reaction comment
C041431,Wrong,Safe,neutral question
C041434,Unsure,,unclear reference
C041436,Wrong,Safe,"moral advice comment, no hate"
C041440,Wrong,Safe,praise comment
C041444,Unsure,,unclear/garbled text
C041445,Wrong,Safe,praise comment
C041453,Wrong,Offensive,"vulgar generic insult, not group hate"
C041454,Wrong,Safe,affectionate comparison comment
C041456,Wrong,Safe,"opinion about actor suitability, no hate"
C041459,Wrong,Safe,mild criticism about associates/scripts
C041467,Wrong,Safe,festival greeting
C041469,Wrong,Offensive,"vulgar political insult, not group hate"
C041471,Wrong,Safe,nostalgic pride statement
C041472,Wrong,Safe,vague complaint about stats
C041473,Unsure,,unclear confusion comment
C041476,Wrong,Safe,factual/critical accusation of plagiarism
C041477,Wrong,Offensive,"mocking personal insult toward actor, not group hate"
C041478,Wrong,Safe,praise comment
C041482,Wrong,Safe,idiomatic fan defense phrase
C041484,Wrong,Safe,"emotional political grievance expression, not hate"
C041499,Wrong,Safe,fan praise comparison
C041501,Wrong,Offensive,"hostile fan-rivalry hyperbole, not credible threat"
C041502,Wrong,Safe,"political comment, no hate"
C041506,Wrong,Safe,sentimental/critical comment
C041508,Correct,,vulgar sexual insult toward dislikers
C041509,Correct,,"vulgar complaint, censored insult"
C041510,Wrong,Safe,sympathetic comment about production costs
C041517,Correct,,vulgar insult toward haters
C041519,Correct,,fan hype with mild insult toward haters
C041525,Correct,,mocking insult toward named individual
C041527,Wrong,Offensive,"critical accusation about objectifying women, not hate speech itself"
C041528,Wrong,Safe,"critique comment, no hate"
C041531,Wrong,Safe,"critique of new trailer/director, no hate"
C041538,Wrong,Safe,general critique about tit-for-tat behavior
C041540,Wrong,Safe,fan praise slang
C041545,Wrong,Safe,praise for movie box office
C041549,Wrong,Offensive,"insult toward two individuals, not group hate"
C041553,Wrong,Safe,political opinion comparison
C041557,Wrong,Safe,neutral comparison joke
C041563,Correct,,mild insult toward dislikers
C041567,Wrong,Safe,"reflective comment about relationships, no hate"
C041570,Wrong,Safe,praise comment
C041573,Wrong,Safe,fan hype about dialogue
C041580,Wrong,Safe,neutral question about caste-community association
C041582,Wrong,Safe,"critique/suggestion, no hate"
C041589,Wrong,Safe,political nostalgic comment
C041592,Wrong,Safe,unclear praise comment
C041593,Wrong,Safe,"commentary on caste discourse with caste-pride statement, not hostile"
C041595,Unsure,,unclear vulgar fragment
C041598,Wrong,Safe,praise comment
C041600,Wrong,Safe,"mild critique, no hate"
C041603,Wrong,Safe,"mixed praise/mocking about patience, mild"
C041607,Wrong,Offensive,"vulgar personal insult, not group hate"
C041609,Unsure,,ambiguous religious/political accusation
C041611,Wrong,Offensive,"sarcastic mocking praise, not group hate"
C041613,Wrong,Safe,"political criticism about media, no hate"
C041615,Wrong,Safe,fan comment
C041616,Wrong,Safe,"anti-hypocrisy commentary defending Dalits, not hate itself"
C041619,Unsure,,unclear comment
C041628,Wrong,Sexual Harassment,sexualized body-shaming remark about a woman
C041635,Correct,,vulgar insult toward dislikers
C041649,Unsure,,unclear meaning
C041650,Wrong,Safe,"political criticism, no hate"
C041656,Wrong,Safe,tribute/eulogy comment
C041657,Wrong,Safe,"political/religious support slogan, no explicit hate in text"
C041660,Wrong,Safe,praise for movie story
C041667,Wrong,Offensive,"criticism of activist group/individual, not caste-class hate"
C041669,Correct,,vulgar generic insult
C041671,Wrong,Safe,"critique comment, no hate"
C041679,Wrong,Safe,fan hype phrase
C041681,Wrong,Safe,"mocking critique about low effort, no hate"
C041687,Wrong,Safe,neutral positive comment
C041699,Wrong,Safe,"critique comment, no hate"
C041702,Wrong,Safe,"political statement, no hate"
C041706,Unsure,,unclear meaning
C041717,Wrong,Safe,"mocking comment about focus on actresses, mild"
C041732,Wrong,Offensive,"personal insult, not group hate"
C041735,Wrong,Sexual Harassment,vulgar sexual insult about a specific girl
C041736,Wrong,Safe,"media criticism comment, no hate"
C041738,Correct,,vulgar personal insult
C041745,Wrong,Safe,praise comment
C041746,Wrong,Safe,mild exasperation comment
C041753,Correct,,mocking personal insult
C041754,Wrong,Safe,mild critique comment
C041757,Wrong,Offensive,"mocking insult about actress's appearance, not group hate"
C041763,Wrong,Offensive,"vulgar insult, not group hate"
C041765,Unsure,,unclear political comment
C041773,Wrong,Safe,fan comparison comment
C041778,Wrong,Safe,"mocking joke about old song, no hate"
C041784,Wrong,Safe,praise request comment
C041786,Wrong,Offensive,"vulgar political insult toward group, not identity hate"
C041793,Wrong,Safe,neutral fan comment
C041796,Unsure,,unclear plea/petition statement
C041802,Wrong,Threat,hyperbolic violent curse wishing death on dislikers
C041803,Wrong,Safe,praise comment
C041807,Wrong,Safe,sympathetic/compassionate comment
C041809,Wrong,Sexual Harassment,explicit sexual threat/insult toward individual
C041813,Wrong,Offensive,"insult toward filmmaking group/individual, not caste-class hate"
C041814,Wrong,Safe,nostalgic ad reference question
C041819,Wrong,Safe,"political criticism, no hate"
C041820,Wrong,Safe,"critique using violent metaphor, no personal insult"
C041823,Correct,,vulgar personal insult
C041824,Correct,,mild insult toward show
C041826,Unsure,,unclear meaning
C041829,Wrong,Safe,factual political statement
C041840,Correct,,mocking accusation of copying toward composer
C041841,Wrong,Threat,hyperbolic violent curse wishing death on dislikers
C041843,Wrong,Safe,praise comment
C041844,Wrong,Safe,unclear political praise
C041845,Wrong,Safe,"personal frustration/criticism, no group hate"
C041846,Wrong,Safe,neutral comment about like/comment patterns
C041847,Wrong,Safe,praise fragment
C041848,Correct,,mocking taunt toward fan group
C041852,Correct,,caste hostility and vulgar insult toward named individuals
C041862,Correct,,personal blame comment
C041865,Wrong,Offensive,"personal taunt, not group hate"
C041866,Unsure,,unclear fan enthusiasm comment
C041873,Correct,,vulgar personal insult
C041878,Wrong,Offensive,"personal political insult, not group hate"
C041881,Unsure,,unclear critique
C041882,Wrong,Safe,skeptical political comment
C041885,Correct,,mild insult toward youtube staff
C041889,Wrong,Safe,praise comment
C041905,Wrong,Safe,factual reference to political quote controversy
C041906,Wrong,Offensive,"political taunt, not group hate"
C041908,Correct,,concerned comment with vulgar exclamation about caste violence
C041909,Wrong,Safe,"fan request/mild warning, no hate"
C041918,Wrong,Safe,"political statement about population, no explicit hate"
C041931,Wrong,Threat,vigilante-style threat of violence against wrongdoers
C041936,Correct,,vulgar personal insult toward historical figure
C041940,Wrong,Safe,neutral fan comment
C041941,Wrong,Safe,fan rivalry teasing
C041944,Unsure,,unclear meaning
C041957,Wrong,Safe,opinion about acting vs politics
C041959,Wrong,Safe,fan hype for actor
C041961,Wrong,Threat,explicit threat of violence
C041962,Correct,,mocking insult toward actors and fans
C041964,Wrong,Safe,"commentary critiquing caste-based double standards, not hate itself"
C041971,Unsure,,vague personal comment
C041972,Wrong,Safe,new year greeting/praise
C041973,Wrong,Safe,fan rivalry teasing
C041979,Wrong,Safe,fan hype request
C041980,Wrong,Offensive,"mocking comment about speech, not group hate"
C041981,Wrong,Safe,political campaign message
C041983,Unsure,,vague personal comment
C041987,Wrong,Safe,critical question toward media channel
C041989,Wrong,Safe,fan complaint about portrayal
C041994,Wrong,Safe,"mocking critique, no hate"
C041998,Wrong,Safe,praise comment
C041999,Wrong,Safe,exasperated comment about costume
C042023,Wrong,Safe,mild sarcastic comment
C042028,Wrong,Safe,critique of courtroom scene dialogue
C042033,Wrong,Safe,joke/mock dialogue about political entry
C042038,Wrong,Safe,fan complaint about screen time
C042041,Wrong,Offensive,"vulgar personal insult, not group hate"
C042044,Wrong,Safe,constructive fan disappointment comment
C042046,Wrong,Safe,fan complaint about ending
C042048,Unsure,,garbled fan/insult mix
C042049,Wrong,Safe,neutral question
C042050,Wrong,Safe,neutral observation about industry styles
C042052,Wrong,Safe,reflective positive comment
C042053,Wrong,Offensive,"mocking challenge toward tiktokers, not group hate"
C042054,Wrong,Safe,praise comparison
C042055,Wrong,Safe,"political criticism about censorship, no hate"
C042059,Wrong,Safe,neutral comparison comment
C042065,Wrong,Safe,"mild critique, no hate"
C042071,Wrong,Threat,explicit threat of violence
C042074,Wrong,Safe,"political sarcasm, no hate"
C042080,Unsure,,unclear identity-related fragment
C042086,Wrong,Offensive,"hyperbolic insult toward critics, not real group hate"
C042090,Unsure,,unclear vulgar fragment
C042091,Wrong,Safe,neutral fan comment
C042092,Correct,,vulgar gendered hate targeting women tiktok users
C042093,Wrong,Offensive,"personal insult about individual, not group hate"
C042096,Wrong,Offensive,"hyperbolic insult toward jealous commenters, not group hate"
C042104,Wrong,Safe,nostalgic comment
C042107,Wrong,Safe,praise comment
C042108,Wrong,Safe,fan hype comment
C042109,Wrong,Safe,stat comparison comment
C042115,Wrong,Safe,praise comment
C042121,Unsure,,unclear exclamation
C042122,Unsure,,ambiguous comment about exploitation
C042125,Wrong,Safe,mild joke about lack of dialogue
C042126,Wrong,Safe,"political sarcasm, no hate"
C042128,Wrong,Safe,neutral movie comparison
C042130,Wrong,Safe,praise/humor comment
C042133,Wrong,Safe,fan hype phrase
C042136,Wrong,Offensive,"vulgar insult toward trailer, not group hate"
C042146,Wrong,Safe,fan praise
C042148,Wrong,Safe,political critical question
C042159,Wrong,Offensive,"generic insult toward commenters, not group hate"
C042165,Wrong,Safe,factual/political observation
C042167,Correct,,vulgar generic exclamation
C042171,Correct,,vulgar mocking insult about haircut
C042184,Wrong,Offensive,"mocking insult about actress appearance, not group hate"
C042185,Wrong,Offensive,"vulgar generic insult, not group hate"
C042187,Wrong,Offensive,"personal political insult, not group hate"
C042195,Wrong,Safe,mild rhetorical comment
C042196,Wrong,Offensive,"mocking hyperbolic insult toward dislikers, not group hate"
C042198,Unsure,,unclear fan stats comment
C042202,Wrong,Offensive,"critical accusation about exploitation, not group hate"
C042204,Unsure,,garbled/unclear text
C042207,Wrong,Safe,"critical observation about hypocrisy, no hate"
C042209,Wrong,Safe,"mild rebuke, no hate"
C042213,Wrong,Safe,fan appreciation comment
C042216,Unsure,,garbled/spam text
C042218,Correct,,insult toward dislikers
C042227,Wrong,Safe,neutral stat confusion with exclamation
C042228,Wrong,Threat,vulgar rant with explicit violent wish toward tiktok users
C042231,Wrong,Offensive,"vulgar generic exclamation, not group hate"
C042232,Wrong,Safe,"meta-critique about content, not itself an insult"
C042234,Correct,,mocking insult toward makeup artist
C042243,Unsure,,vague political statement
C042250,Wrong,Safe,"movie review, mostly positive"
C042252,Wrong,Safe,"concerned comment about justice system, no hate"
C042254,Wrong,Offensive,"vulgar regional insult, not caste/religion/gender hate"
C042255,Wrong,Threat,explicit threat of violence
C042258,Correct,,mild insult toward dislikers
C042263,Wrong,Safe,"mild complaint, no hate"
C042265,Wrong,Safe,mild rebuke to fan wars
C042266,Wrong,Threat,explicit threat of violence
C042274,Wrong,Offensive,"vulgar insult toward show hosts, not group hate"
C042278,Wrong,Safe,neutral music critique
C042284,Wrong,Safe,praise for governor's speech
C042287,Wrong,Safe,"personal tech complaint, no insult"
C042288,Wrong,Safe,"mocking critique of bgm usage, mild"
C042296,Correct,,vulgar insult
C042297,Wrong,Safe,mocking suggestion about movie length
C042309,Wrong,Safe,praise comparison
C042319,Wrong,Safe,channel self-promotion
C042322,Wrong,Safe,neutral stat comparison
C042324,Wrong,Safe,"crude slang wish for movie quality, not an insult"
C042327,Wrong,Offensive,"vulgar gendered slur and insult toward activist group, not caste-class hate"
C042328,Unsure,,"vague comment, unclear target"
C042330,Wrong,Sexual Harassment,implies groping/harassment behavior by a celebrity
C042332,Wrong,Safe,"comparison critique, no hate"
C042345,Wrong,Safe,well wishes comment
C042349,Correct,,vulgar insult
C042352,Wrong,Safe,"comparison opinion, no hate"
C042353,Wrong,Safe,fan pride comment
C042359,Unsure,,unclear political statement
C042362,Correct,,caste-based dehumanizing generalization blaming SC people for crimes
C042363,Unsure,,garbled/unclear text
C042366,Wrong,Safe,"comparison comment, no hate"
C042374,Wrong,Safe,"critical commentary about caste reservations, not hate itself"
C042381,Correct,,vulgar insult
C042382,Wrong,Safe,"thoughtful critique, not an insult"
C042383,Wrong,Safe,fan hype slang
C042386,Wrong,Safe,philosophical/praise statement
C042388,Correct,,mocking insult
C042390,Wrong,Safe,praise for director's movies
C042400,Wrong,Safe,"media criticism comment, no hate"
C042404,Wrong,Safe,factual observation about singer's career
C042406,Wrong,Safe,praise comment (possibly sarcastic)
C042407,Wrong,Safe,political support statement
C042408,Wrong,Safe,"idiomatic dismissive comment about critics, mild"
C042410,Wrong,Safe,"critique of music composer, no hate"
C042416,Unsure,,unclear vulgar phrase
C042421,Correct,,mocking comment about actor's appearance/acting
C042424,Wrong,Safe,praise comment
C042433,Wrong,Safe,"political criticism, no hate"
C042437,Wrong,Safe,neutral movie comparison
C042445,Wrong,Safe,"sarcastic comment about pricing practices, mild"
C042447,Wrong,Safe,fan praise
C042450,Wrong,Safe,"critique, no hate"
C042457,Wrong,Safe,praise for cricketer
C042459,Wrong,Safe,"critique comment, no hate"
C042463,Wrong,Safe,"neutral advice about marriage, no hate"
C042465,Wrong,Safe,motivational comment
C042468,Wrong,Safe,"anti-caste-discrimination commentary, not hate itself"
C042479,Wrong,Safe,"opinion defending a phrase, no hate"
C042484,Wrong,Offensive,"political taunt/prediction, not group hate"
C042493,Wrong,Offensive,"mocking insult, not group hate"
C042497,Unsure,,garbled text with caste name reference
C042506,Wrong,Safe,religious devotional phrase
C042508,Wrong,Safe,fan hype comment
C042509,Wrong,Safe,fan praise
C042512,Wrong,Safe,neutral dialogue joke
C042521,Wrong,Safe,fan message urging against hate
C042522,Wrong,Safe,neutral tech comment
C042529,Wrong,Safe,neutral movie comparison
C042531,Wrong,Safe,praise comment
C042532,Wrong,Safe,praise comment
C042537,Wrong,Safe,well wishes comment
C042540,Wrong,Offensive,"vulgar hyperbolic exclamation, not group hate"
C042546,Wrong,Safe,neutral stat comparison
C042555,Correct,,vulgar sexual insult
C042558,Wrong,Safe,praise/hope comment
C042561,Wrong,Safe,fan comparison comment
C042566,Wrong,Safe,praise comment
C042570,Wrong,Offensive,"mocking personal insult, not group hate"
C042571,Wrong,Offensive,"mocking insult about appearance, not group hate"
C042579,Wrong,Safe,anti-divisive commentary condemning caste/religion politics
C042586,Wrong,Safe,neutral observation
C042595,Wrong,Safe,neutral critical observation about stunt scenes
C042598,Wrong,Safe,fan hype comparison
C042600,Wrong,Safe,"fan rivalry comment, mild"
C042604,Unsure,,unclear mocking comment
C042606,Wrong,Safe,creative praise metaphor
C042609,Correct,,insult toward fans
C042612,Wrong,Safe,praise for action scene
C042613,Wrong,Safe,critique about music choice
C042614,Correct,,mocking accusation of plagiarism
C042615,Wrong,Safe,"commentary criticizing caste discrimination, not hate itself"
C042616,Wrong,Safe,neutral observation
C042618,Wrong,Safe,"mild rebuke, no hate"
C042621,Wrong,Offensive,"political insult, not group hate"
C042622,Wrong,Safe,fan comment about movie
C042624,Wrong,Safe,critique of pacing
C042625,Unsure,,unclear political/travel comment
C042627,Wrong,Safe,neutral music comparison
C042628,Wrong,Safe,fan praise
C042632,Wrong,Offensive,"insult using racial term amid discrimination complaint, not caste/religion/gender hate"
C042633,Unsure,,unclear comment about scale
C042634,Wrong,Safe,mocking critique about trailer length
C042635,Correct,,insult toward individual
C042638,Correct,,vulgar sexual insult
C042641,Wrong,Safe,fan praise
C042642,Unsure,,unclear fragment
C042643,Wrong,Safe,fan rivalry comment
C042649,Wrong,Threat,explicit threat of violence
C042650,Wrong,Offensive,"vulgar slang praise, not group hate"
C042653,Wrong,Safe,comparison/humor comment
C042654,Correct,,caste/religion-based hostility with threatening undertone
C042655,Correct,,vulgar insult used casually
C042663,Wrong,Safe,mild critique about makeup
C042670,Correct,,vulgar personal insult
C042674,Wrong,Safe,"accusation of plagiarism, no hate"
C042677,Correct,,vulgar insult
C042679,Wrong,Safe,praise comment
C042680,Wrong,Offensive,"personal accusation, not group hate"
C042682,Wrong,Safe,fan comment
C042687,Wrong,Safe,fan confused question
C042691,Wrong,Offensive,"vulgar insult toward dislikers, not group hate"
C042693,Wrong,Safe,mild critique about casting
C042698,Wrong,Safe,"political comment, no hate"
C042699,Wrong,Safe,critique about originality
C042703,Wrong,Safe,political support message
C042711,Unsure,,garbled political comment
C042714,Wrong,Safe,mild complaint about movie
C042717,Wrong,Safe,rhetorical/reflective comment
C042719,Wrong,Safe,"critique, no hate"
C042720,Wrong,Safe,mocking joke about dislikers
C042722,Correct,,vulgar insult
C042725,Wrong,Safe,movie dialogue/character reference
C042729,Wrong,Safe,"political criticism about liquor licensing, no hate"
C042733,Wrong,Offensive,"mocking insult about appearance, not group hate"
C042740,Wrong,Safe,praise comment about beauty
C042746,Unsure,,unclear mocking comment
C042750,Wrong,Offensive,"mocking comparison insult, not group hate"
C042757,Wrong,Safe,praise for police officer
C042759,Wrong,Safe,praise for honest review
C042763,Unsure,,unclear meaning
C042766,Wrong,Safe,praise comment
C042768,Unsure,,unclear mocking insult
C042774,Correct,,crude wordplay joke
C042775,Wrong,Offensive,"political insult toward leaders as group, not identity hate"
C042779,Wrong,Safe,"critical observation about caste-based political rhetoric, not hate itself"
C042781,Wrong,Safe,praise comment
C042782,Unsure,,unclear political comment
C042784,Wrong,Safe,factual religious/mythological discussion
C042792,Wrong,Safe,fan hype comment
C042798,Wrong,Safe,praise comment
C042808,Wrong,Safe,"sarcastic comment about politician, no vulgar insult"
C042813,Wrong,Offensive,"mocking personal insult toward director/hero, not group hate"
C042814,Wrong,Safe,neutral comment
C042819,Wrong,Safe,emotional praise comment
C042820,Wrong,Safe,praise for meaningful cinema
C042822,Correct,,mocking complaint about image
C042823,Wrong,Sexual Harassment,explicit vulgar sexual threat/insult
C042825,Wrong,Threat,explicit threat of humiliation/violence
C042826,Wrong,Offensive,"personal insult toward individual, not group hate"
C042829,Wrong,Safe,vague political complaint
C042837,Wrong,Safe,factual/critical observation about filming style
C042838,Wrong,Safe,neutral stat comment
C042841,Wrong,Safe,comparison praise
C042847,Wrong,Safe,fan hype phrase
C042852,Wrong,Safe,fan anticipation with mild complaint
C042857,Wrong,Safe,praise for political leader's activism
C042860,Wrong,Safe,neutral phrase
C042861,Correct,,mild insult toward fan group
C042862,Wrong,Safe,praise comment
