comment_id,platform,platform_original,comment,language,script,english_translation,translation_status,category,category_original,label,severity,toxicity_score,sentiment
C003183,YouTube,YouTube,"Okka maata, Nee level chuste jaaliga undi Ok na? 😢",Roman Telugu,Roman,"one thing, seeing your level is honestly pitiful ok?",translated,Offensive,Offensive,1,Medium,0.43,Negative
C003184,Other,Koo,"By the way, what you say never makes any sense that's it.",English,Roman,"by the way, what you say never makes any sense that's it.",not_required_english,Offensive,Offensive,1,Medium,0.36,Neutral
C003185,Other,Telegram,ఆడవాళ్ళకి నెట్ యాక్సెస్ ఇవ్వడమే పెద్ద తప్పు !!!,Telugu,Telugu,giving women internet access itself was a big mistake,translated,Hate Speech,Hate,2,High,0.66,Negative
C003186,YouTube,YouTube,"Mava, Ilanti postulu petteముందు common sense vaadu Arthamaindha? 🔥",Roman Telugu,Roman,"bro, use some common sense before posting things like this got it?",translated,Offensive,Offensive,1,Medium,0.37,Neutral
C003187,YouTube,YouTube,Don't know whether to laugh or cry seeing this 🙄,English,Roman,don't know whether to laugh or cry seeing this,not_required_english,Offensive,Offensive,1,Medium,0.45,Negative
C003188,YouTube,YouTube,Adavallu eppudu over-ga react avutharu Seriously-ga.,Roman Telugu,Roman,women always overreact seriously.,translated,Hate Speech,Hate,2,High,0.78,Negative
C003189,X,Twitter/X,"Chudu, Adavallu intlo undali, online-ki ravaddu 🙄",Roman Telugu,Roman,"look, women should stay home, not come online",translated,Hate Speech,Hate,2,High,0.55,Negative
C003190,YouTube,YouTube,"నిజం చెప్పాలంటే, నీ వాయిస్ చాలా సెక్సీగా ఉంది, కాల్ చేద్దాం రాత్రి ఓకే నా?",Telugu,Telugu,"honestly, your voice is so sexy, let's call at night ok?",translated,Sexual Harassment,Misogyny,3,High,0.61,Neutral
C003191,YouTube,YouTube,"Bro, giving women internet access itself was a big mistake this is true. 😢",English,Roman,"bro, giving women internet access itself was a big mistake this is true.",not_required_english,Hate Speech,Hate,2,High,0.56,Negative
C003192,X,Twitter/X,"ఒక్క మాట, ఇలాంటి అవగాహన కార్యక్రమాలు కాలేజీల్లో కూడా జరగాలి నమ్ము నన్ను.",Telugu,Telugu,"one thing, awareness programs like this should happen in colleges too trust me.",translated,Safe,Neutral,0,Low,0.02,Positive
C003193,YouTube,YouTube,Em buddhi lekunda maatladatav nuvvu Ok na? ...,Roman Telugu,Roman,you talk with absolutely no sense ok?,translated,Offensive,Offensive,1,Medium,0.42,Negative
C003194,Other,Facebook,"One thing, have you lost your mind, talking like this remember this. 😤",English,Roman,"one thing, have you lost your mind, talking like this remember this.",not_required_english,Offensive,Offensive,1,Medium,0.44,Negative
C003195,YouTube,YouTube,"Mava, Nee number naaku ippatike telusu, palakariste tappa Arthamaindha?",Roman Telugu,Roman,"bro, I already know your number, is it wrong to say hi got it?",translated,Sexual Harassment,Misogyny,3,High,0.88,Negative
C003196,Other,ShareChat,"ఊరికే చెప్తున్నా, వర్క్‌ప్లేస్‌లో సేఫ్టీ గురించి ఈ చర్చ బాగుంది గుర్తు పెట్టుకో. 😔",Telugu,Telugu,"just saying, this discussion on workplace safety is good remember this.",translated,Safe,Neutral,0,Low,0.13,Positive
C003197,X,Twitter/X,"One thing, give me your number, let's talk specially every day really. !!!",English,Roman,"one thing, give me your number, let's talk specially every day really.",not_required_english,Sexual Harassment,Misogyny,3,High,0.89,Neutral
C003198,X,Twitter/X,"By the way, can we meet once, I won't do anything, promise that's it. ...",English,Roman,"by the way, can we meet once, I won't do anything, promise that's it.",not_required_english,Sexual Harassment,Misogyny,3,High,0.61,Negative
C003199,YouTube,YouTube,"Hey, have you lost your mind, talking like this seriously. ??",English,Roman,"hey, have you lost your mind, talking like this seriously.",not_required_english,Offensive,Offensive,1,Medium,0.6,Negative
C003200,YouTube,YouTube,"See here, apps like these are very useful for women remember this. ??",English,Roman,"see here, apps like these are very useful for women remember this.",not_required_english,Safe,Neutral,0,Low,0.02,Neutral
C003201,Other,Telegram,"Urike cheptunna, Vallu andaru okate group-lo untaru, nammadaniki ledu Arthamaindha? !!!",Roman Telugu,Roman,"just saying, they're all part of the same group, can't be trusted got it?",translated,Hate Speech,Hate,2,High,0.61,Negative
C003202,YouTube,YouTube,"Hey, downloading women's safety apps is a good idea this is final. !!!",English,Roman,"hey, downloading women's safety apps is a good idea this is final.",not_required_english,Safe,Neutral,0,Low,0.02,Positive
C003203,YouTube,YouTube,"ఇలా చూడు, చట్టపరమైన హక్కుల గురించి ఇలాంటి సమాచారం చాలా విలువైనది ఇది ఫైనల్. ??",Telugu,Telugu,"see here, information like this on legal rights is very valuable this is final.",translated,Safe,Neutral,0,Low,0.03,Positive
C003204,X,Twitter/X,ఆడవాళ్ళ మాటలు ఎప్పుడూ నమ్మకూడదు అసలు ఓకే నా? 🙄,Telugu,Telugu,you should never trust what women say ok?,translated,Hate Speech,Hate,2,High,0.81,Negative
C003205,Other,Facebook,"Okka maata, Help kavalante evarini sampradhinchalo spashtamga cheppāru Idi nijam.",Roman Telugu,Roman,"one thing, you clearly explained who to contact for help this is true.",translated,Safe,Neutral,0,Low,0.05,Positive
C003206,YouTube,YouTube,"ఒక్క మాట, నీలాంటి వాళ్ళకి అటెన్షన్ ఇవ్వకూడదు అసలు నిజంగా. ...",Telugu,Telugu,"one thing, people like you shouldn't be given any attention at all really.",translated,Offensive,Offensive,1,Medium,0.5,Negative
C003207,Other,Telegram,"See here, you should never trust what women say this is final. 🙄",English,Roman,"see here, you should never trust what women say this is final.",not_required_english,Hate Speech,Hate,2,High,0.8,Neutral
C003208,Other,Facebook,It's a good sign that police are responding quickly in such cases ok? 🙄,English,Roman,it's a good sign that police are responding quickly in such cases ok?,not_required_english,Safe,Neutral,0,Low,0.12,Positive
C003209,YouTube,YouTube,ఈ జనరేషన్ ఆడవాళ్ళు రెస్పెక్ట్ ఇవ్వడానికి అసలు అర్హులు కాదు ఇది ఫైనల్. 😢,Telugu,Telugu,this generation of women don't even deserve respect this is final.,translated,Hate Speech,Hate,2,High,0.64,Negative
C003210,Other,Facebook,"Urike cheptunna, Neeku burra ledha ila maatladatavu Ok na? smh",Roman Telugu,Roman,"just saying, have you lost your mind, talking like this ok?",translated,Offensive,Offensive,1,Medium,0.45,Negative
C003211,Other,ShareChat,"ఒక్క మాట, ఆడవాళ్ళకి బుద్ధి ఉండదు అందుకే ఇలా పోస్ట్ చేస్తారు అంతే.",Telugu,Telugu,"one thing, women have no sense, that's why they post like this that's it.",translated,Hate Speech,Hate,2,High,0.57,Negative
C003212,YouTube,YouTube,స్కూళ్ళలో సైబర్ సేఫ్టీ గురించి క్లాసులు పెట్టాలి ఇది నిజం. smh,Telugu,Telugu,schools should conduct classes on cyber safety this is true.,translated,Safe,Neutral,0,Low,0.02,Neutral
C003213,YouTube,YouTube,"Chudu, Nee lanti ammayilu naa messages-ki reply ivvali kada Nijanga. 😔",Roman Telugu,Roman,"look, girls like you should reply to my messages right really.",translated,Sexual Harassment,Misogyny,3,High,0.85,Negative
C003214,YouTube,YouTube,"Nijam cheppalante, Ilanti chettha aalochanalu ekkada nerchukunnav Nijanga. #WomenSafety",Roman Telugu,Roman,"honestly, where did you learn such trashy thinking really.",translated,Offensive,Offensive,1,Medium,0.46,Neutral
C003215,YouTube,YouTube,"One thing, this initiative gives a lot of people courage trust me. smh",English,Roman,"one thing, this initiative gives a lot of people courage trust me.",not_required_english,Safe,Neutral,0,Low,0.12,Neutral
C003216,YouTube,YouTube,"One thing, post another selfie, closer trust me. 😡",English,Roman,"one thing, post another selfie, closer trust me.",not_required_english,Sexual Harassment,Misogyny,3,High,0.67,Neutral
C003217,Other,Telegram,"One thing, I won't leave you alone, watch what happens remember this. 😔",English,Roman,"one thing, I won't leave you alone, watch what happens remember this.",not_required_english,Threat,Threat,4,High,0.91,Negative
C003218,Other,Facebook,"నిజం చెప్పాలంటే, నీకు బుర్ర లేదా ఇలా మాట్లాడతావు సీరియస్‌గా. 😢",Telugu,Telugu,"honestly, have you lost your mind, talking like this seriously.",translated,Offensive,Offensive,1,Medium,0.38,Negative
C003219,YouTube,YouTube,"Nijam cheppalante, Neetho ontariga time spend cheyalani undi Anthe. 😤",Roman Telugu,Roman,"honestly, I want to spend time alone with you that's it.",translated,Sexual Harassment,Misogyny,3,High,0.68,Negative
C003220,YouTube,YouTube,"ఒక్క మాట, ఇలాంటి చెత్త ఆలోచనలు ఎక్కడ నేర్చుకున్నావ్ నమ్ము నన్ను. ??",Telugu,Telugu,"one thing, where did you learn such trashy thinking trust me.",translated,Offensive,Offensive,1,Medium,0.64,Negative
C003221,Other,Telegram,"ఊరికే చెప్తున్నా, మహిళల భద్రత గురించి మాట్లాడటం చాలా ముఖ్యం నమ్ము నన్ను. 😤",Telugu,Telugu,"just saying, talking about women's safety is very important trust me.",translated,Safe,Neutral,0,Low,0.1,Neutral
C003222,X,Twitter/X,"Bro, awareness programs like this should happen in colleges too this is final. 🙄",English,Roman,"bro, awareness programs like this should happen in colleges too this is final.",not_required_english,Safe,Neutral,0,Low,0.08,Positive
C003223,YouTube,YouTube,"మావా, ప్రతి మహిళ సురక్షితంగా ఉండాలి నమ్ము నన్ను. 😡",Telugu,Telugu,"bro, every woman deserves to feel safe trust me.",translated,Safe,Neutral,0,Low,0.07,Positive
C003224,YouTube,YouTube,"చూడు, నీకు తగిన బుద్ధి చెప్పే రోజు వస్తుంది, ఆగు అర్థమైందా? #WomenSafety",Telugu,Telugu,"look, the day will come when you're taught a lesson, wait got it?",translated,Threat,Threat,4,High,0.97,Negative
C003225,Other,Facebook,"మావా, వీళ్ళు మాట్లాడేది వినడం కూడా టైమ్ వేస్ట్ అంతే. #WomenSafety",Telugu,Telugu,"bro, even listening to what they say is a waste of time that's it.",translated,Hate Speech,Hate,2,High,0.55,Negative
C003226,YouTube,YouTube,"ఇలా చూడు, ఇలాంటి పాజిటివ్ కంటెంట్ ఇంకా రావాలి నమ్ము నన్ను. smh",Telugu,Telugu,"see here, we need more positive content like this trust me.",translated,Safe,Neutral,0,Low,0.05,Neutral
C003227,Other,Telegram,"ఏయ్, నీలాంటి వాళ్ళకి అటెన్షన్ ఇవ్వకూడదు అసలు ??",Telugu,Telugu,"hey, people like you shouldn't be given any attention at all",translated,Offensive,Offensive,1,Medium,0.58,Negative
C003228,Other,Koo,"Chudu, Inta manchi look unna ammayini ignore cheyalenu Idi final. !!!",Roman Telugu,Roman,"look, I can't ignore a girl who looks this good this is final.",translated,Sexual Harassment,Misogyny,3,High,0.75,Negative
C003229,YouTube,YouTube,నువ్వు లేకపోతే ఈ పేజీ అంత ఇంట్రెస్టింగ్‌గా ఉండదు ఇది నిజం.,Telugu,Telugu,without you this page wouldn't be this interesting this is true.,translated,Sexual Harassment,Misogyny,3,High,0.77,Neutral
C003230,YouTube,YouTube,"బై ద వే, దీనికేమైనా అర్థం ఉందా, వేస్ట్ ఆఫ్ టైమ్ ఇది నిజం.",Telugu,Telugu,"by the way, does this even make sense, total waste of time this is true.",translated,Offensive,Offensive,1,Medium,0.4,Negative
C003231,Other,Facebook,"Look, you look so beautiful, let me give you my number, let's talk privately seriously. 😤",English,Roman,"look, you look so beautiful, let me give you my number, let's talk privately seriously.",not_required_english,Sexual Harassment,Misogyny,3,High,0.76,Negative
C003232,YouTube,YouTube,"Vinu, Enduku antha negative-ga untav eppudu Arthamaindha? smh",Roman Telugu,Roman,"listen, why are you always so negative got it?",translated,Offensive,Offensive,1,Medium,0.44,Negative
C003233,YouTube,YouTube,"చూడు, నిన్ను చూసి కంట్రోల్ చేసుకోవడం కష్టంగా ఉంది గుర్తు పెట్టుకో. #WomenSafety",Telugu,Telugu,"look, it's hard to control myself seeing you remember this.",translated,Sexual Harassment,Misogyny,3,High,0.71,Negative
C003234,YouTube,YouTube,"Hey, Inta chettha video eppudu chudaledu Anthe. 😔",Roman Telugu,Roman,"hey, never seen such a trash video that's it.",translated,Offensive,Offensive,1,Medium,0.61,Negative
C003235,YouTube,YouTube,"See here, people like you shouldn't be given any attention at all this is final. 😡",English,Roman,"see here, people like you shouldn't be given any attention at all this is final.",not_required_english,Offensive,Offensive,1,Medium,0.58,Negative
C003236,YouTube,YouTube,"Nijam cheppalante, Adavallaki nijanga samanatvam akkarledu, prathyeka sadupayale kavali Anthe. 😤",Roman Telugu,Roman,"honestly, women don't really want equality, they just want special treatment that's it.",translated,Hate Speech,Hate,2,High,0.77,Negative
C003237,YouTube,YouTube,"Listen, women always overreact trust me. #WomenSafety",English,Roman,"listen, women always overreact trust me.",not_required_english,Hate Speech,Hate,2,High,0.68,Negative
C003238,YouTube,YouTube,"Ila chudu, Prathi ammayiki ilanti safety tips teliyali Arthamaindha? #WomenSafety",Roman Telugu,Roman,"see here, every girl should know safety tips like these got it?",translated,Safe,Neutral,0,Low,0.14,Neutral
C003239,Other,Facebook,"One thing, this community is very supportive ok? ...",English,Roman,"one thing, this community is very supportive ok?",not_required_english,Safe,Neutral,0,Low,0.02,Positive
C003240,YouTube,YouTube,"Vinu, Help kavalante evarini sampradhinchalo spashtamga cheppāru Seriously-ga. 😡",Roman Telugu,Roman,"listen, you clearly explained who to contact for help seriously.",translated,Safe,Neutral,0,Low,0.12,Positive
C003241,Other,Facebook,"One thing, helpline numbers like this should be made known to everyone ok? 😡",English,Roman,"one thing, helpline numbers like this should be made known to everyone ok?",not_required_english,Safe,Neutral,0,Low,0.07,Positive
C003242,YouTube,YouTube,"See here, they always have some complaint or the other, that's it seriously. ??",English,Roman,"see here, they always have some complaint or the other, that's it seriously.",not_required_english,Hate Speech,Hate,2,High,0.63,Negative
C003243,YouTube,YouTube,"నిజం చెప్పాలంటే, ఈ జనరేషన్ ఆడవాళ్ళు రెస్పెక్ట్ ఇవ్వడానికి అసలు అర్హులు కాదు ఓకే నా? 🔥",Telugu,Telugu,"honestly, this generation of women don't even deserve respect ok?",translated,Hate Speech,Hate,2,High,0.75,Negative
C003244,YouTube,YouTube,People like you have ruined social media this is true. #WomenSafety,English,Roman,people like you have ruined social media this is true.,not_required_english,Offensive,Offensive,1,Medium,0.52,Negative
C003245,Other,Facebook,"చూడు, ఇలాంటి చెత్త ఆలోచనలు ఎక్కడ నేర్చుకున్నావ్ అర్థమైందా? !!!",Telugu,Telugu,"look, where did you learn such trashy thinking got it?",translated,Offensive,Offensive,1,Medium,0.57,Negative
C003246,YouTube,YouTube,"Okka maata, Nee number ivvu, roju maatladadam special-ga Nammu nannu. ??",Roman Telugu,Roman,"one thing, give me your number, let's talk specially every day trust me.",translated,Sexual Harassment,Misogyny,3,High,0.78,Negative
C003247,YouTube,YouTube,"Bro, this generation of women don't even deserve respect this is final. ...",English,Roman,"bro, this generation of women don't even deserve respect this is final.",not_required_english,Hate Speech,Hate,2,High,0.65,Negative
C003248,Other,Instagram,"Vinu, Neeku tagina buddhi cheppe roju vastundi, aagu Nijanga.",Roman Telugu,Roman,"listen, the day will come when you're taught a lesson, wait really.",translated,Threat,Threat,4,High,0.8,Negative
C003249,Other,Koo,"Bro, women don't really want equality, they just want special treatment that's it. 😔",English,Roman,"bro, women don't really want equality, they just want special treatment that's it.",not_required_english,Hate Speech,Hate,2,High,0.6,Negative
C003250,Other,Telegram,"One thing, just reply to one message, nothing else, that's it ok? 🙄",English,Roman,"one thing, just reply to one message, nothing else, that's it ok?",not_required_english,Sexual Harassment,Misogyny,3,High,0.85,Negative
C003251,YouTube,YouTube,Nee comments chadivithe thalanoppi vastundi Gurthu pettuko.,Roman Telugu,Roman,reading your comments gives me a headache remember this.,translated,Offensive,Offensive,1,Medium,0.41,Negative
C003252,YouTube,YouTube,వర్క్‌ప్లేస్‌లో సేఫ్టీ గురించి ఈ చర్చ బాగుంది నిజంగా.,Telugu,Telugu,this discussion on workplace safety is good really.,translated,Safe,Neutral,0,Low,0.13,Positive
C003253,Other,ShareChat,"Mava, Vedhava logic-tho eppudu ilanti postule pedatav Seriously-ga. 😔",Roman Telugu,Roman,"bro, with that stupid logic you always post nonsense like this seriously.",translated,Offensive,Offensive,1,Medium,0.42,Negative
C003254,YouTube,YouTube,"Nijam cheppalante, Adavallaki net access ivvadame pedda tappu Nijanga. 😢",Roman Telugu,Roman,"honestly, giving women internet access itself was a big mistake really.",translated,Hate Speech,Hate,2,High,0.83,Negative
C003255,Other,Instagram,"By the way, Chattaparamaina hakkula gurinchi ilanti samacharam chala viluvainadi Nammu nannu. smh",Roman Telugu,Roman,"by the way, information like this on legal rights is very valuable trust me.",translated,Safe,Neutral,0,Low,0.1,Positive
C003256,YouTube,YouTube,"బై ద వే, ఈ కమ్యూనిటీ చాలా సపోర్టివ్‌గా ఉంది 😡",Telugu,Telugu,"by the way, this community is very supportive",translated,Safe,Neutral,0,Low,0.12,Positive
C003257,Other,Facebook,ఈ వీడియో చాలా ఉపయోగకరంగా ఉంది 🔥,Telugu,Telugu,this video is really useful,translated,Safe,Neutral,0,Low,0.13,Positive
C003258,X,Twitter/X,"Bro, without you this page wouldn't be this interesting this is final. 😔",English,Roman,"bro, without you this page wouldn't be this interesting this is final.",not_required_english,Sexual Harassment,Misogyny,3,High,0.61,Negative
C003259,X,Twitter/X,"Nijam cheppalante, Naa whatsapp-ki add chesuko, private-ga maatladadam Gurthu pettuko. #WomenSafety",Roman Telugu,Roman,"honestly, add me on WhatsApp, let's talk privately remember this.",translated,Sexual Harassment,Misogyny,3,High,0.85,Negative
C003260,YouTube,YouTube,"Okka maata, Ee post chalamandiki sahayapadutundi Anthe. ...",Roman Telugu,Roman,"one thing, this post will help a lot of people that's it.",translated,Safe,Neutral,0,Low,0.05,Neutral
C003261,YouTube,YouTube,"Hey, Nuvvu maatladedi eppudu artham lekunda untundi Nammu nannu. #WomenSafety",Roman Telugu,Roman,"hey, what you say never makes any sense trust me.",translated,Offensive,Offensive,1,Medium,0.4,Neutral
C003262,Other,Telegram,"Chudu, Nee live chustunnapudu vere aalochanale vastunnayi Seriously-ga. smh",Roman Telugu,Roman,"look, while watching your live, different thoughts keep coming seriously.",translated,Sexual Harassment,Misogyny,3,High,0.88,Negative
C003263,YouTube,YouTube,"Nijam cheppalante, Nee number ivvu, roju maatladadam special-ga Seriously-ga. 😢",Roman Telugu,Roman,"honestly, give me your number, let's talk specially every day seriously.",translated,Sexual Harassment,Misogyny,3,High,0.87,Negative
C003264,YouTube,YouTube,"Nijam cheppalante, Naa whatsapp-ki add chesuko, private-ga maatladadam Idi nijam. 😔",Roman Telugu,Roman,"honestly, add me on WhatsApp, let's talk privately this is true.",translated,Sexual Harassment,Misogyny,3,High,0.89,Neutral
C003265,Other,Koo,"Bro, they always have some complaint or the other, that's it seriously. !!!",English,Roman,"bro, they always have some complaint or the other, that's it seriously.",not_required_english,Hate Speech,Hate,2,High,0.62,Negative
C003266,X,Twitter/X,"Just saying, people like you have ruined social media this is true. 😔",English,Roman,"just saying, people like you have ruined social media this is true.",not_required_english,Offensive,Offensive,1,Medium,0.4,Neutral
C003267,X,Twitter/X,Schools should conduct classes on cyber safety 😡,English,Roman,schools should conduct classes on cyber safety,not_required_english,Safe,Neutral,0,Low,0.11,Neutral
C003268,YouTube,YouTube,"Look, even if you block my number, I know how to find you remember this. #WomenSafety",English,Roman,"look, even if you block my number, I know how to find you remember this.",not_required_english,Threat,Threat,4,High,0.89,Negative
C003269,Other,ShareChat,"Okka maata, Ee generation adavallu respect ivvadaniki asalu arhulu kaadu Nijanga. 🙄",Roman Telugu,Roman,"one thing, this generation of women don't even deserve respect really.",translated,Hate Speech,Hate,2,High,0.62,Negative
C003270,X,Twitter/X,"మావా, వర్క్‌ప్లేస్‌లో సేఫ్టీ గురించి ఈ చర్చ బాగుంది అంతే. 😔",Telugu,Telugu,"bro, this discussion on workplace safety is good that's it.",translated,Safe,Neutral,0,Low,0.07,Neutral
C003271,YouTube,YouTube,"By the way, Neelanti vallu valle social media padaipoyindi Idi final. 😤",Roman Telugu,Roman,"by the way, people like you have ruined social media this is final.",translated,Offensive,Offensive,1,Medium,0.6,Negative
C003272,YouTube,YouTube,"Honestly, without you this page wouldn't be this interesting really. ...",English,Roman,"honestly, without you this page wouldn't be this interesting really.",not_required_english,Sexual Harassment,Misogyny,3,High,0.73,Negative
C003273,Other,Facebook,Nee photos konni pampinchu private-ga Gurthu pettuko.,Roman Telugu,Roman,send me some of your photos privately remember this.,translated,Sexual Harassment,Misogyny,3,High,0.6,Negative
C003274,X,Twitter/X,"Hey, Prathi ammayiki ilanti safety tips teliyali Nijanga. 🙄",Roman Telugu,Roman,"hey, every girl should know safety tips like these really.",translated,Safe,Neutral,0,Low,0.1,Positive
C003275,YouTube,YouTube,"Hey, Cyber bhadratha gurinchi ilanti samacharam chala mandiki avasaram Idi final. 🔥",Roman Telugu,Roman,"hey, information like this on cyber safety is needed by many people this is final.",translated,Safe,Neutral,0,Low,0.11,Neutral
C003276,YouTube,YouTube,"Hey, this video is really useful this is true. 🔥",English,Roman,"hey, this video is really useful this is true.",not_required_english,Safe,Neutral,0,Low,0.11,Positive
C003277,X,Twitter/X,"Listen, without you this page wouldn't be this interesting ok? 😡",English,Roman,"listen, without you this page wouldn't be this interesting ok?",not_required_english,Sexual Harassment,Misogyny,3,High,0.72,Negative
C003278,YouTube,YouTube,"One thing, every woman deserves to feel safe this is final. #WomenSafety",English,Roman,"one thing, every woman deserves to feel safe this is final.",not_required_english,Safe,Neutral,0,Low,0.15,Positive
C003279,YouTube,YouTube,నీకు బుర్ర లేదా ఇలా మాట్లాడతావు ఓకే నా? 😤,Telugu,Telugu,"have you lost your mind, talking like this ok?",translated,Offensive,Offensive,1,Medium,0.45,Negative
C003280,Other,Koo,"ఏయ్, ఇలాంటి వాళ్ళని సీరియస్‌గా తీసుకోవాల్సిన అవసరమే లేదు సీరియస్‌గా.",Telugu,Telugu,"hey, there's no need to take people like this seriously at all seriously.",translated,Hate Speech,Hate,2,High,0.79,Negative
C003281,YouTube,YouTube,"బై ద వే, వీళ్ళందరూ చేసేది కేవలం డ్రామానే అంతే. smh",Telugu,Telugu,"by the way, all they do is drama that's it.",translated,Hate Speech,Hate,2,High,0.76,Negative
C003282,X,Twitter/X,"See here, they're all the same, doing all this just for attention !!!",English,Roman,"see here, they're all the same, doing all this just for attention",not_required_english,Hate Speech,Hate,2,High,0.74,Neutral
C003283,YouTube,YouTube,"ఊరికే చెప్తున్నా, నా మాట వినకపోతే నీ లైఫ్ కష్టం చేస్తా అంతే. 😤",Telugu,Telugu,"just saying, if you don't listen to me, I'll make your life difficult that's it.",translated,Threat,Threat,4,High,0.94,Negative
C003284,YouTube,YouTube,"One thing, this post will help a lot of people this is true. 🔥",English,Roman,"one thing, this post will help a lot of people this is true.",not_required_english,Safe,Neutral,0,Low,0.03,Neutral
C003285,YouTube,YouTube,"Bro, talking about women's safety is very important that's it. 😤",English,Roman,"bro, talking about women's safety is very important that's it.",not_required_english,Safe,Neutral,0,Low,0.08,Positive
C003286,YouTube,YouTube,"ఒక్క మాట, నువ్వు చాలా అందంగా ఉన్నావు, నా నెంబర్ ఇస్తా మాట్లాడదాం ప్రైవేట్‌గా గుర్తు పెట్టుకో. smh",Telugu,Telugu,"one thing, you look so beautiful, let me give you my number, let's talk privately remember this.",translated,Sexual Harassment,Misogyny,3,High,0.61,Neutral
C003287,YouTube,YouTube,"మావా, ఈ చొరవ వల్ల చాలామందికి ధైర్యం వస్తుంది 😤",Telugu,Telugu,"bro, this initiative gives a lot of people courage",translated,Safe,Neutral,0,Low,0.05,Positive
C003288,X,Twitter/X,"Vinu, Ila continue cheste nee location evarikaina istha Arthamaindha?",Roman Telugu,Roman,"listen, if you continue like this I'll give your location to someone got it?",translated,Threat,Threat,4,High,0.94,Negative
C003289,YouTube,YouTube,"Mava, Okka message-ki reply ivvu, emi kaadu anthe !!!",Roman Telugu,Roman,"bro, just reply to one message, nothing else, that's it",translated,Sexual Harassment,Misogyny,3,High,0.78,Negative
C003290,X,Twitter/X,"Hey, Em buddhi lekunda maatladatav nuvvu Gurthu pettuko. ??",Roman Telugu,Roman,"hey, you talk with absolutely no sense remember this.",translated,Offensive,Offensive,1,Medium,0.56,Neutral
C003291,YouTube,YouTube,"By the way, Vallaki eppudu edo oka complaint untundi anthe Seriously-ga. ...",Roman Telugu,Roman,"by the way, they always have some complaint or the other, that's it seriously.",translated,Hate Speech,Hate,2,High,0.67,Negative
C003292,YouTube,YouTube,"చూడు, ఈ చొరవ వల్ల చాలామందికి ధైర్యం వస్తుంది నిజంగా.",Telugu,Telugu,"look, this initiative gives a lot of people courage really.",translated,Safe,Neutral,0,Low,0.13,Positive
C003293,YouTube,YouTube,"ఏయ్, ఈ కమ్యూనిటీ చాలా సపోర్టివ్‌గా ఉంది 😤",Telugu,Telugu,"hey, this community is very supportive",translated,Safe,Neutral,0,Low,0.04,Positive
C003294,YouTube,YouTube,Seeing people like this doesn't even evoke pity really.,English,Roman,seeing people like this doesn't even evoke pity really.,not_required_english,Offensive,Offensive,1,Medium,0.61,Neutral
C003295,YouTube,YouTube,"See here, if you don't take this down, something will happen without you knowing this is final. 😔",English,Roman,"see here, if you don't take this down, something will happen without you knowing this is final.",not_required_english,Threat,Threat,4,High,0.82,Negative
C003296,YouTube,YouTube,"Chudu, Dini kante better content ekkadaina dorukutundi Arthamaindha? 😡",Roman Telugu,Roman,"look, you can find better content anywhere than this got it?",translated,Offensive,Offensive,1,Medium,0.4,Negative
C003297,YouTube,YouTube,"నిజం చెప్పాలంటే, నీ ఫోటోలు కొన్ని పంపించు ప్రైవేట్‌గా ఓకే నా? 😢",Telugu,Telugu,"honestly, send me some of your photos privately ok?",translated,Sexual Harassment,Misogyny,3,High,0.65,Negative
C003298,YouTube,YouTube,"Honestly, this generation of women don't even deserve respect #WomenSafety",English,Roman,"honestly, this generation of women don't even deserve respect",not_required_english,Hate Speech,Hate,2,High,0.59,Negative
C003299,Other,ShareChat,"Just saying, where did you learn such trashy thinking seriously. 😔",English,Roman,"just saying, where did you learn such trashy thinking seriously.",not_required_english,Offensive,Offensive,1,Medium,0.38,Negative
C003300,Other,Instagram,"నీ నంబర్ ఎవరో ఇచ్చారు, ఫ్రెండ్‌షిప్ చేద్దామా ఇది ఫైనల్. !!!",Telugu,Telugu,"someone gave me your number, shall we be friends this is final.",translated,Sexual Harassment,Misogyny,3,High,0.79,Negative
C003301,YouTube,YouTube,"ఏయ్, నిన్ను ఎక్కడైనా చూస్తే ఊరుకోను, గుర్తు పెట్టుకో సీరియస్‌గా. ??",Telugu,Telugu,"hey, if I see you anywhere, I won't let it go, remember that seriously.",translated,Threat,Threat,4,High,0.84,Negative
C003302,X,Twitter/X,"విను, ఈ చొరవ చాలా బాగుంది, ఇంకా ఇలాంటివి రావాలి గుర్తు పెట్టుకో. 😔",Telugu,Telugu,"listen, this initiative is great, we need more like this remember this.",translated,Safe,Neutral,0,Low,0.05,Neutral
C003303,YouTube,YouTube,"One thing, can we meet once, I won't do anything, promise trust me.",English,Roman,"one thing, can we meet once, I won't do anything, promise trust me.",not_required_english,Sexual Harassment,Misogyny,3,High,0.71,Negative
C003304,Other,Koo,"One thing, if you don't reply to this comment I'll come to your DM 🙄",English,Roman,"one thing, if you don't reply to this comment I'll come to your DM",not_required_english,Sexual Harassment,Misogyny,3,High,0.81,Negative
C003305,YouTube,YouTube,"ఒక్క మాట, నిన్ను చూసినప్పుడల్లా ఇలాంటివి అనిపిస్తున్నాయి, డిఎం చెయ్యి ఇది ఫైనల్. ??",Telugu,Telugu,"one thing, every time I see you I feel like this, DM me this is final.",translated,Sexual Harassment,Misogyny,3,High,0.68,Neutral
